,aff_no,age,Act1,Act2,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,roomate,famrel,freetime,goout,Dalc,Walc,health,absences,hindi_mrk(10),eng_mrk(10),socil_mrk(10),sci_mrk(10),skt_mrk(10),math_mrk(10),perc(total_avg),site_sel,G1_11F,G2 _11S,G3_12,SugSite,NewSite
0,1130144,18,4,4,2,2,0,1,0,0,,,,,,4,3,4,1,1,3,6,39,25,26,82,76,26,45.66666667,Arts,67.0,91.0,67.0,0,Arts
1,930205,17,1,1,1,2,0,0,1,0,,,,,,5,3,3,1,1,3,4,45,84,65,46,94,27,60.16666667,Comm&Mgmt,79.33,78.33,79.33,0,Comm&Mgmt
2,1630448,15,1,1,1,2,3,1,0,1,,,,,,4,3,2,2,3,3,10,71,90,68,55,69,25,63.0,Comm&Mgmt,65.0,68.0,65.0,0,Comm&Mgmt
3,2752028,15,4,2,1,3,0,0,1,1,,,,,,3,2,2,1,1,5,2,36,20,99,88,64,43,58.33333333,Arts,56.0,52.0,56.0,1,Sci&Tech
4,2220160,16,3,3,1,2,0,0,1,1,,,,,,4,3,2,1,2,5,4,99,49,73,90,22,99,72.0,Comm&Mgmt,85.8,73.6,85.8,0,Comm&Mgmt
5,2132343,16,4,3,1,2,0,0,1,1,,,,,,5,4,2,1,2,5,10,44,37,14,30,98,39,43.66666667,Arts,55.0,49.8,55.0,1,Arts
6,330018,16,2,2,1,2,0,0,0,0,,,,,,4,4,4,1,1,3,0,58,40,30,71,47,21,44.5,Arts,46.0,49.2,46.0,1,Comm&Mgmt
7,2730281,17,4,4,2,2,0,1,1,0,,,,,,4,1,4,1,1,1,6,89,97,48,87,74,14,68.16666667,Comm&Mgmt,82.0,64.0,82.0,0,Comm&Mgmt
8,1030210,15,3,2,1,2,0,0,1,1,,,,,,4,2,2,1,1,1,0,92,19,77,4,62,36,48.33333333,Arts,73.0,79.0,73.0,0,Arts
9,3430197,15,3,4,1,2,0,0,1,1,,,,,,5,5,1,1,1,5,0,77,65,19,94,20,44,53.16666667,Arts,58.0,70.0,58.0,1,Sci&Tech
10,530469,15,4,4,1,2,0,0,1,1,,,,,,3,3,3,1,2,2,0,62,85,73,33,34,30,52.83333333,Arts,58.0,61.0,58.0,1,Arts
